,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frank_Breakfast_Pepperoni Pizza,Frank,Breakfast,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extra"
Frank_Breakfast_Cheese Pizza,Frank,Breakfast,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frank_Breakfast_Garlic Cheese Bread Pizza Squares 2 Each,Frank,Breakfast,Pizza,Garlic Cheese Bread Pizza Squares 2 Each,154.20 SERV,423.16,20.84,7.36,NA,39.68,1072.92,40.49,2.2,2.1,NA,19.77,372.12,2.95,439.02,2.32,37.89,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup,Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme);Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative);Soybean Oil, Water, Cultured Buttermilk, Vinegar, High Fructose Corn Syrup, Buttermilk, Salt, Contains less than 2% of Dehydrated Onion, Egg Yolk, Garlic Powder, Lactic Acid, Monosodium Glutamate, Onion Powder, Phosphoric Acid, Polysorbate 60, Potassium Sorb"
Frank_Breakfast_Chicken Alfredo Pizza,Frank,Breakfast,Pizza,Chicken Alfredo Pizza,127.00 PIZ,331.91,16.9,9.09,0,63.23,763.7,24.92,1.22,1.7,NA,19.59,917.05,7.78,355.26,1.99,8.91,0,N/A,N/A,"Egg, Milk, Soy, Wheat, Sesame","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Chicken Breast Skinless, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose), Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80, Milk, Vitamin D3, Breadcrumbs (Enriched Flour Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sul"
Frank_Breakfast_Green Machine Smoothie,Frank,Breakfast,Pizza,Green Machine Smoothie,240.00 GAL,120.52,0.47,0.06,NA,NA,50.9,28.16,4.4,18.92,NA,2.6,5698.35,56.37,71.15,2.07,317.19,0,N/A,N/A,,"Granny Smith Apples, Apple Juice, Ascorbic Acid, Spinach, Pineapple, Bananas, Kale, Spearmint Leaves"
Frank_Breakfast_OMELET BAR/description,Frank,Breakfast,Grill Station,OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork Cured W"
Frank_Breakfast_OUTDOOR OMELET BAR/description,Frank,Breakfast,Grill Station,OUTDOOR OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork"
Frank_Breakfast_Scrambled Eggs,Frank,Breakfast,Grill Station,Scrambled Eggs,85.05 SHT4,117.65,7.55,2.73,0,301.16,115.15,0,0,0,NA,10.63,531.45,NA,70.86,1.92,0,0,N/A,N/A,Egg,"Cage Free Whole Eggs, Citric Acid, 0,15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil"
Frank_Breakfast_Scrambled Egg Whites,Frank,Breakfast,Grill Station,Scrambled Egg Whites,85.00 SHT4,46.2,0,0,0,0,147.82,0,0,0,NA,9.24,0,0,0,0,0,0,N/A,N/A,Egg,"Egg Whites, Triethyl Citrate Added As A Whipping Agent"
Frank_Breakfast_Vegetarian Sausage Patty,Frank,Breakfast,Grill Station,Vegetarian Sausage Patty,29.00 SHT2,53.42,1.91,0,0,0,190.79,3.05,0.76,0.76,NA,6.87,0,0,0,1.37,0,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Water, Wheat Gluten, Soy Flour, Egg Whites, Corn Oil, Soy Protein Concentrate, Sodium Caseinate, Modified Tapioca Starch, Contains Two Percent Or Less Of Lactose, Soybean Oil (With Tbhq For Freshness), Soy Protein Isolate, Autolyzed Yeast Extract, Spices, Natural And Artificial Flavors, Methylcellulose, Sodium Tripolyphosphate, Salt, Hydrolyzed Wheat Gluten, Disodium Inosinate, Caramel Color, Modified Corn Starch, Whey, Hydrolyzed Corn Gluten, Maltodextrin, Hydrolyzed Soy Protein, Potassium Chloride, Dextrose, Onion Powder, Disodium Guanylate, Tetrasodium Pyrophosphate,"
Frank_Breakfast_Tater Tots,Frank,Breakfast,Grill Station,Tater Tots,56.70 FHP2,102.86,5.14,1.29,0,0,212.14,12.21,1.29,0.64,NA,1.29,0,1.54,0,0.46,0,0,N/A,N/A,Soy,"Potatoes, Vegetable Oil (Contains One Or More Of The Following: Canola, Palm, Soybean, Sunflower), Salt, Corn Flour, Dehydrated Potato, Disodium Dihydrogen Pyrophosphate (To Promote Color Retention), Dextrose"
Frank_Breakfast_Daily Special,Frank,Breakfast,Grill Station,Daily Special,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Grilled Cheese Sandwich,Frank,Breakfast,Grill Station,Grilled Cheese Sandwich,146.08 EA,452.59,21.67,11.41,NA,54.29,1268.73,48.98,2.14,7.61,NA,15.86,825.99,2.28,275.33,2.96,15.27,0,N/A,N/A,"Milk, Soy, Wheat","Texas Toast (Enriched Wheat Flour (Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, High Fructose Corn Syrup, Contains 2% Or Less Of Each Of The Following: Yeast, Wheat Gluten, Soybean Oil, Salt, Sodium Stearoyl Lactylate , Monoglycerides, Calcium Sulfate, Calcium Peroxide, Soy Lecithin, Azodicarbonamide, Enzymes, Calcium Carbonate, Ammonium Sulfate, Calcium Propionate (To Preserve Freshness)), Cultured Milk And Skim Milk, Water, Cream, Sodium Citrate, Salt, Sorbic Acid (Preservative), Sodium Phosphate, Artificial Color, Acetic"
Frank_Breakfast_French Fries,Frank,Breakfast,Grill Station,French Fries,85.00 FHP2,104.76,3.34,0,0,0,28.57,17.15,1.9,0,NA,1.9,0,4.57,0,0.34,0,0,N/A,N/A,Soy,"Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Contains 2% Or Less Of Dextrose, Sodium Acid Pyrophosphate Added To Maintain Natural Color)"
Frank_Breakfast_Tom Kha Gai Soup/BM,Frank,Breakfast,Soup Station,Tom Kha Gai Soup/BM,250.00 BM,245.22,15.3,10.26,0,27.93,372.75,14.39,3.29,3.77,NA,12.13,1069.47,15.67,39.15,1.96,240.96,13.57,N/A,N/A,Fish,"Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (Preservative).), Water, Chicken Breast Skinless, Cilantro, Shiitake Mushroom, Green Bell Pepper, Bamboo Shoots, Water, Ginger, Garlic, Shallots, Jalapeno, Chili, Salt, Distilled Vinegar, Potassium Sorbate And Sodium Bisulfite, As Preservatives And Xanthan Gum Contains Sulfite, Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor, Anchovy Extract(70%), Salt, Sugar, Flavor Enhancer Monosodium Glutamate, Brown Sugar, Lime Juice (Lime Juice Fro"
Frank_Breakfast_Gluten Free Oatmeal/BM,Frank,Breakfast,Soup Station,Gluten Free Oatmeal/BM,234.45 BM,214.89,3.7,0.63,NA,0,10.51,38.39,5.73,0.56,NA,7.46,0,0,34.82,2.41,0,0,N/A,N/A,,"Water, Whole Grain Oats"
Frank_Breakfast_Caprese Salad,Frank,Breakfast,Salad Bar,Caprese Salad,85.00 HHP4,65.56,4.61,1.81,NA,9.89,248.88,2.39,0.64,1.42,NA,3.1,2396.33,5.75,89.86,0.37,53.67,0,N/A,N/A,Milk,"Mescaline Spring Mix, Tomato, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Cultured Pasteurized Milk, Enzymes, Salt, Balsamic Vinegar, Basil, Kosher Salt"
Frank_Breakfast_Berry and Acai Bowl Station - Farm to Frank 2022,Frank,Breakfast,Salad Bar,Berry and Acai Bowl Station - Farm to Frank 2022,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Assorted Breakfast Desserts/NO NUTS,Frank,Breakfast,Desserts,Assorted Breakfast Desserts/NO NUTS,1.00 EA,17.5001,0.75,0.1875,0,0.625125,14.3749,2.625,0,1.37512,NA,0.124875,NA,0,0,0,4.61E-11,4.61E-11,N/A,N/A,"Egg, Milk, Soy, Wheat","May Contain Egg, Milk, Soy, Tree Nut (Coconut), Wheat and/or Gelatin"
Frank_Breakfast_Angel Food Cake with Berries and Whipped Cream,Frank,Breakfast,Desserts,Angel Food Cake with Berries and Whipped Cream,91.00 SERV,145.79,1.67,0.82,NA,8.11,76.22,27.02,0.63,20.12,NA,3.75,7.36,12.99,1.73,0.29,0.18,0,N/A,N/A,"Egg, Milk, Wheat","Strawberries, High Fructose Corn Syrup, Sugar, Water, Modified Food Starch, Carrageenan, Sodium Benzoate a Preservative, Artificial Flavors, Citric Acid, Artificial Color (Red 40).;Egg Whites, Triethyl Citrate Added As A Whipping Agent;Cane Sugar;Heavy Cream, Water, Sugar, Nonfat Milk, Maltodextrin, Contains less than 2% of: Cellulose Gel, Mono and Diglycerides, Natural and Artificial Flavor, Carrageenan, Cellulose Gum. Propellant: Nitrous Oxide.;Strawberries;Cake  Pastry Flour (Bleached Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.);Blu"
Frank_Breakfast_Dough/Croissant/chocolate Swirl,Frank,Breakfast,Desserts,Dough/Croissant/chocolate Swirl,85.00 EA,300,16,8,NA,40,300,34,2,NA,9,7,NA,NA,NA,2.7,70,NA,N/A,N/A,"Egg, Milk, Soy, Wheat","Enriched Flour (wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Butter, Sugar, Yeast, Soybean Oil, Cocoa Processed With Alkali, Egg Yolks, Nonfat Milk, Vital Wheat Gluten, Salt, Unsweetened Chocolate, Egg Whites, Dextrose, Modified Corn Starch, Tapioca Dextrin, Soy Lecithin, Palm Oil, Natural Flavor, Xanthan Gum, Gum Arabic, Dough Conditioner (ascorbic Acid, Enzymes), Agar."
Frank_Breakfast_Vegan Coconut Cake,Frank,Breakfast,Desserts,Vegan Coconut Cake,85.00 SHEE,255.35,9.36,4.63,NA,NA,278.4,41.3,1.24,35.53,NA,1.08,36.8,NA,0.99,0.23,5.49,0,N/A,N/A,"Soy, Wheat","Cane Sugar, Soy Milk (Filtered Water, Organic Whole Soybeans, Organic Naturally Milled Evaporated Cane Juice, Calcium Carbonate, Salt, Organic Vanilla Flavor, Vitamin A Palmitate, Carrageenan, Riboflavin (B2), Vitamin D2, Vitamin B12), Coconut, Sugar, Water, Propylene Glycol, Salt, Sodium Metabisulfite, Sugar, Cornstarch, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Partially Hydrogenated Soybean And Cottonseed Oils, Mono- And Diglycerides, Water, Alcohol (21%), Prop"
Frank_Breakfast_Dumpling/Apple/3.1oz,Frank,Breakfast,Desserts,Dumpling/Apple/3.1oz,1.00 EA,199.966,9.9952,4.00336,0,0,299.953,29.9944,1.00304,9.9952,NA,1.99728,NA,NA,0,NA,NA,NA,N/A,N/A,"Soy, Wheat","Made From: Apples, Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Oils (Palm, Soybean, Hydrogenated Cottonseed), Sugar, High Fructose Corn Syrup, Contains 2 Percent Or Less Of: Modified Cornstarch, Salt, Mono And Diglycerides, Cinnamon, Soy Lecithin, Turmeric And Annatto Extracts For Color."
Frank_Dinner_CATERING Korean BBQ Kalbi Ribs,Frank,Dinner,Mainline,CATERING Korean BBQ Kalbi Ribs,456.72 LB,2240.04,168.11,73.47,NA,321.78,10932.16,99.66,2.18,85.3,NA,74.75,119.45,6.84,72.24,9.96,90.75,0,N/A,N/A,"Soy, Sesame","Beef;Water;Brown Sugar;Gluten Free Soy Sauce (Water, salt, High Fructose Corn Syrup, Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate);Garlic;Kosher Salt;Scallions;Soybean Oil, Sesame Oil;Black Pepper;Corn Syrup, Rice, Purified Water, Chili Powder, Purified Salt, Alcohol, Garlic, Yeast Extracts, Onion, Fermented Soybean Powder, Vitamin B1, Seed Koji;"
Frank_Dinner_Korean BBQ Tofu,Frank,Dinner,Mainline,Korean BBQ Tofu,85.05 SERV,127.82,6.14,0.88,NA,0,459.99,7.33,1.76,4.72,NA,12.91,91.87,0.34,513.44,1.91,7.45,0,N/A,N/A,"Soy, Sesame","Tofu (Water, Soybeans, Calcium Sulfate), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate), Brown Sugar, Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative), Scallions, Garlic, Ginger, Sesame Seeds, Sesame Seed Oil, Corn Syrup, Rice, Purified Water, Chili Powder, Purified Salt, Alcohol, Garlic, Yeast Extracts, Onion, Fermented Soybean Powder, Vitamin B1, Seed Koji"
Frank_Dinner_Kimchi Fried Brown Rice,Frank,Dinner,Mainline,Kimchi Fried Brown Rice,85.00 FHP2,64.24,1.12,0.17,NA,0,416.47,11.54,2.14,0.26,NA,1.05,182.75,0.33,3.65,0.23,26.66,0,N/A,N/A,"Fish, Soy, Wheat, Sesame","Long Grain Brown Rice, White Onion, Peas, Carrot, Celery, Sugar, Soy Extract (Water, Salt, Soybeans, Wheat), Water, Salt, Caramel Color, Sodium Benzoate As A Preservative, Citric Acid, Xanthan Gum, Soybean Oil, Sesame Oil, Garlic, Ginger"
Frank_Dinner_Sesame Spinach,Frank,Dinner,Mainline,Sesame Spinach,85.05 FHP2,40.73,1.48,0.22,NA,NA,175.56,5.07,2.69,0.9,NA,3.65,10826.8,32.98,122.75,3.26,654.55,0,N/A,N/A,"Soy, Sesame","Spinach, Scallions, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Sesame Seed Oil, Sesame Seeds, Cane Sugar, Garlic"
Frank_Dinner_Gamja Jorim (Korean Potatoes),Frank,Dinner,Mainline,Gamja Jorim (Korean Potatoes),85.00 FHP2,84.42,3.57,0.52,NA,NA,495.57,11.52,1.41,2.86,NA,2.16,54.11,6.7,20.62,1.69,213.73,0,N/A,N/A,Soy,"Potato;Water;Soy Sauce (Water, Whole Soybeans (OCIA certified), Salt, Alcohol (to preserve freshness).;Extra Virgin Olive Oil;Dark Corn Syrup (Dark Corn Syrup, Refiners` Syrup, Caramel Flavor, Salt, Sodium Benzoate, Caramel Color);Scallions;Cane Sugar;Garlic;Kosher Salt;Black Pepper;Jalapeno;"
Frank_Dinner_Nicoya Blue Zone Bowl DESCRIPTION,Frank,Dinner,Expo Station,Nicoya Blue Zone Bowl DESCRIPTION,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Dinner_Simply Baked Tofu,Frank,Dinner,Expo Station,Simply Baked Tofu,85.00 FHP2,77.35,4.96,0.46,0,0,6.8,1.7,0.34,0.43,NA,8.42,0,0.43,148.75,1.56,0,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate);"
Frank_Dinner_Zero Zone (Descr),Frank,Dinner,Expo Station,Zero Zone (Descr),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Dinner_Grilled Halal Chicken Breast,Frank,Dinner,Expo Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frank_Dinner_Sorghum/Cooked,Frank,Dinner,Expo Station,Sorghum/Cooked,85.05 FHP2,127.35,1.24,0.17,NA,0,4.15,28.03,2.37,1.27,NA,4.24,0,0,11.94,1.65,0,0,N/A,N/A,,"Water, Whole Grain Sorghum"
Frank_Dinner_Pinto Beans,Frank,Dinner,Expo Station,Pinto Beans,85.00 FHP2,120.21,0.04,0.01,NA,0,225.01,43.09,26.74,2.55,NA,13.42,69.74,8.66,80.34,5.14,4.43,0,N/A,N/A,,Pinto Beans;White Onion;Jalapeno;Garlic;Kosher Salt;
Frank_Dinner_Simply Prepared Cauliflower,Frank,Dinner,Expo Station,Simply Prepared Cauliflower,85.00 SERV,21.25,0.24,0.05,0,0,25.5,4.22,1.7,1.62,NA,1.63,0,40.97,18.7,0.36,254.15,0,N/A,N/A,,Cauliflower;
Frank_Dinner_Vegan Roasted Butternut Squash Sauce,Frank,Dinner,Expo Station,Vegan Roasted Butternut Squash Sauce,60.00 CUP,48.54,2.67,1.88,NA,0,71.28,5.9,1.15,1.37,NA,0.76,4739.38,9.73,24.42,0.55,0.38,0,N/A,N/A,,"Butternut Squash;Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (preservative).);Kosher Salt;Garlic;Black Pepper;Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative).);"
Frank_Dinner_Pepperoni Pizza,Frank,Dinner,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extracti"
Frank_Dinner_Cheese Pizza,Frank,Dinner,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frank_Dinner_Garlic Cheese Bread Pizza Squares 2 Each,Frank,Dinner,Pizza,Garlic Cheese Bread Pizza Squares 2 Each,154.20 SERV,423.16,20.84,7.36,NA,39.68,1072.92,40.49,2.2,2.1,NA,19.77,372.12,2.95,439.02,2.32,37.89,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup,Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme);Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative);Soybean Oil, Water, Cultured Buttermilk, Vinegar, High Fructose Corn Syrup, Buttermilk, Salt, Contains less than 2% of Dehydrated Onion, Egg Yolk, Garlic Powder, Lactic Acid, Monosodium Glutamate, Onion Powder, Phosphoric Acid, Polysorbate 60, Potassium Sorbate"
Frank_Dinner_Chicken Alfredo Pizza,Frank,Dinner,Pizza,Chicken Alfredo Pizza,127.00 PIZ,331.91,16.9,9.09,0,63.23,763.7,24.92,1.22,1.7,NA,19.59,917.05,7.78,355.26,1.99,8.91,0,N/A,N/A,"Egg, Milk, Soy, Wheat, Sesame","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Chicken Breast Skinless, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose), Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80, Milk, Vitamin D3, Breadcrumbs (Enriched Flour Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfat"
Frank_Dinner_Halal Southwest Grilled Chicken Sandwich,Frank,Dinner,Grill Station,Halal Southwest Grilled Chicken Sandwich,292.00 EA,415.31,21.88,5.15,NA,107.1,1050.3,27.73,2.24,4.23,NA,25.63,808.51,7.18,146.51,1.78,33.45,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Halal Chicken Thighs, Tomato, Enriched Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Yeast, Vegetable Oil (Canola And/Or Soy). Contains 2% Or Less Of Each Of The Following: Vital Wheat Gluten, Salt, Yeast Nutrient (Ammonium Sulphate), Dough Conditioners (Sodium Stearoyl Lactylate, Ascorbic Acid, Monocalcium Phosphate), Calcium Sulfate, Enzymes, Calcium Propionate (Mold Inhibitor)., Iceberg Lettuce, Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto Coloring, Mayon"
Frank_Dinner_Onion Rings,Frank,Dinner,Grill Station,Onion Rings,85.00 FHP2,130.24,0,0,0,0,503.58,28.65,0.87,2.6,NA,3.47,0,2.09,0,0.63,0,0,N/A,N/A,"Milk, Wheat","Onion Ring (Onions, Water, Bleached Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Potato Starch, Contains 2% Or Less Of Dextrose, Natural Flavor, Salt, Whey, Yeast)"
Frank_Dinner_Fries/Sweet Potato,Frank,Dinner,Grill Station,Fries/Sweet Potato,85.00 FHP2,123.81,4.76,0.48,0,0,209.52,20,2.86,5.72,NA,0.96,4285.73,1.14,19.05,0.34,0,0,N/A,N/A,Soy,"Sweet Potato Fries (Sweet Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Corn Starch - Modified, Potato Starch - Modified. Contains 2% Or Less Of Annatto (Color), Baking Soda, Beta Carotene (Color), Caramel (Color), Dextrin, Natural Flavors, Rice Flour, Salt, Sodium Acid Pyrophosphate (Maintains Natural Color  Leavening), Sugar, Xanthan Gum)"
